"Period","Industry","Unit","RBNZ_Series","Loans_By_Industry","CPI_All_Groups","CPI_Item","Fisher_Ideal_House_Prices","Real_Loans_By_Industry","Quarterly_PC","Annual_PC","Floating_First_Mortgage_Interest_Rate","Paid_Hours_Worked","Real_GDP","Real_Mortgages","House_Mortgage_Interest_Rate","Labour_Paid_Hours_Worked","Log_GDP","Log_Fisher_Ideal_House_Prices","Estimated_Real_Housing_Mortgages","Trend","Nominal_Estimate","Estimate"
2017-10-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",168188,1005.43734977983,"All groups",4.8207851089748,34888.0931628515,0.198240324160559,0.712507511038973,5.84,62.9671054006072,60.8768088938982,10.4599008798599,1.76473079684014,4.14261245353251,4.10885229585077,1.5729368004775,NA,11,NA,1475.90878361156
2017-11-30,"Households - Housing","NZDm","BSZA.MAE2A4.H1",169041,1006.7085910961,"All groups",4.83421844103614,34967.596533302,0.227881099948402,0.639748976512444,5.84,63.2246830101052,61.0650641126287,10.4621770983075,1.76473079684014,4.14669477886383,4.11193992053045,1.57571946972456,NA,12,NA,1485.55006630061
2017-12-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",170131,1008.01429134028,"All groups",4.84790011366638,35093.7511110007,0.360775661485913,0.788887810024774,5.84,63.5117024564996,61.2645116463628,10.4657783625789,1.76473079684014,4.15122417957275,4.11520074620116,1.57854564493808,NA,13,NA,1496.59627004155
2018-01-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",171047,1009.31997119881,"All groups",4.86114725960212,35186.5497722034,0.264430727023535,0.855468391347114,5.84,63.7948657739745,61.467985682362,10.4684191798198,1.76473079684014,4.1556727133504,4.11851648126474,1.58127447170076,NA,14,NA,1507.57499130472
2018-02-28,"Households - Housing","NZDm","BSZA.MAE2A4.H1",171840,1010.50602526753,"All groups",4.87303259350383,35263.4620644807,0.21858435332589,0.846113432179685,5.84,64.0262455030024,61.6533730211729,10.4706026378727,1.76473079684014,4.15929308528181,4.12152794054147,1.58371645242998,NA,15,NA,1516.33305862565
2018-03-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",173048,1011.83407882082,"All groups",4.88656939088916,35412.9832521445,0.424011650899359,0.909655226464867,5.84,64.2320996529315,61.8580433441605,10.4748337904176,1.76473079684014,4.16250308033422,4.12484213636806,1.58649050122579,NA,16,NA,1523.48746700841
2018-04-30,"Households - Housing","NZDm","BSZA.MAE2A4.H1",174010,1013.14161421964,"All groups",4.90050924693897,35508.5545667918,0.269876485600617,0.915136029741515,5.85,64.3653425171285,62.0531998654735,10.4775289201464,1.76644166124377,4.1645753285785,4.1279920794664,1.58933912766317,NA,17,NA,1526.70279198993
2018-05-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",175284,1014.52369621637,"All groups",4.91627443063206,35653.8273998396,0.409120660697604,1.10699662626752,5.85,64.4499891420529,62.2493628381235,10.481611780524,1.76644166124377,4.16588956091432,4.13114829976028,1.59255101411478,NA,18,NA,1527.41280597986
2018-06-30,"Households - Housing","NZDm","BSZA.MAE2A4.H1",176361,1015.89871620093,"All groups",4.93331969186728,35748.9502029913,0.266795488980698,0.948711235240096,5.85,64.5029315673116,62.4314929272143,10.4842761827397,1.76644166124377,4.16671067342487,4.13406984240641,1.5960121269361,NA,19,NA,1526.29236291514
2018-07-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",177211,1017.36330309514,"All groups",4.9529932456851,35778.5668604295,0.0828462298053001,0.760414770276885,5.85,64.5510513303925,62.6098636260524,10.4851043020523,1.76644166124377,4.16745640423039,4.13692283160523,1.59999208992358,NA,20,NA,1524.37703877872
2018-08-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",178394,1018.86573909317,"All groups",4.97386091856681,35866.3024400375,0.245218261397362,0.595938937537133,5.85,64.6162105563035,62.7788099275383,10.4875534829726,1.76644166124377,4.16846531671311,4.13961759499868,1.60419638330286,NA,21,NA,1523.05513005381
2018-09-30,"Households - Housing","NZDm","BSZA.MAE2A4.H1",179257,1020.34680216602,"All groups",4.99408095209692,35893.891532682,0.0769220431645623,0.405442198631367,5.85,64.7180904606579,62.9344364963885,10.4883224077058,1.76644166124377,4.17004076768978,4.14209349396363,1.60825340159743,NA,22,NA,1523.68240441303
2018-10-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",180240,1021.89598706137,"All groups",5.01385285119787,35948.4024260781,0.15186676915897,0.474685211152037,5.85,64.8789477774676,63.0882586477954,10.4898399233879,1.76644166124377,4.1725231916958,4.14453467692073,1.61220465171827,NA,23,NA,1527.29518394871
2018-11-30,"Households - Housing","NZDm","BSZA.MAE2A4.H1",181567,1023.40449895497,"All groups",5.03080164143108,36091.0671779838,0.396859783126779,0.626673848864145,5.85,65.0738165285037,63.2314438078061,10.4938006671078,1.76644166124377,4.17552226444563,4.14680170603102,1.61557934346716,NA,24,NA,1533.18112115127
2018-12-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",182597,1024.96366251589,"All groups",5.04490874483252,36194.3117775983,0.286066907097404,0.836967606710304,5.85,65.2929801319188,63.3746778643571,10.4966572522516,1.76644166124377,4.17888452869536,4.14906437889026,1.61837956540264,NA,25,NA,1540.87341469317
2019-01-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",183550,1026.51380573446,"All groups",5.05494589843809,36310.9722018418,0.3223170120223,1.0085838348709,5.85,65.5071546618345,63.5139901901352,10.4998752390938,1.76644166124377,4.18215936815427,4.15126019958709,1.6203671498312,NA,26,NA,1549.20982120363
2019-02-28,"Households - Housing","NZDm","BSZA.MAE2A4.H1",184578,1027.89828284027,"All groups",5.06184493232764,36464.5702244228,0.42300718837045,1.03489055781349,5.85,65.6769078354843,63.6362706647208,10.5040963893739,1.76644166124377,4.18474738479542,4.15318360126101,1.62173102797683,NA,27,NA,1556.05643411307
2019-03-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",185860,1029.40502209301,"All groups",5.06909106823392,36665.3503553555,0.550617022762068,1.30141603645251,5.85,65.8171294834217,63.7672581073109,10.5095874560627,1.76644166124377,4.18688013094798,4.15523986281053,1.62316152504868,NA,28,NA,1561.38422128091
2019-04-30,"Households - Housing","NZDm","BSZA.MAE2A4.H1",186912,1030.82841494859,"All groups",5.07769680723077,36810.3900441303,0.395576988543977,1.37539099617712,5.85,65.8906655842107,63.8891640009439,10.5135354224628,1.76644166124377,4.1879967863197,4.15714976955359,1.62485777437721,NA,29,NA,1563.13776982717
2019-05-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",188349,1032.25411147355,"All groups",5.09035686022759,37001.1386572176,0.518192317056609,1.4714788340914,5.73,65.9162468328791,64.0096248681566,10.5187039656722,1.74571553072665,4.18838494879951,4.15903346061739,1.6273479381692,NA,30,NA,1565.16832822855
2019-06-30,"Households - Housing","NZDm","BSZA.MAE2A4.H1",189530,1033.58128383528,"All groups",5.10828471478882,37102.4738404455,0.273870445357627,1.19219775851982,5.73,65.9126858255914,64.1203994867603,10.521438926708,1.74571553072665,4.18833092412955,4.16076255802076,1.6308636756124,NA,31,NA,1561.12251384579
2019-07-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",190525,1034.89348445988,"All groups",5.13443749357762,37107.2781075467,0.0129486435914927,0.806533326760372,5.73,65.9011226248712,64.224574224159,10.5215684047612,1.74571553072665,4.18815547664214,4.16238591353309,1.6359702937731,NA,32,NA,1554.95164088298
2019-08-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",191924,1036.15762381222,"All groups",5.16870897819566,37131.9029199819,0.0663611390836705,0.353406050488503,5.26,65.9032746065912,64.2988113638079,10.5222317960594,1.66013102674962,4.18818813081401,4.16354114528434,1.64262294325451,NA,33,NA,1562.2130607319
2019-09-30,"Households - Housing","NZDm","BSZA.MAE2A4.H1",192993,1037.35067641102,"All groups",5.20962840001165,37045.4445464035,-0.232841214102897,-0.153707524428992,5.26,65.9391037174458,64.3201536452287,10.5199006689516,1.66013102674962,4.18873164515578,4.16387301363074,1.65050852884761,NA,34,NA,1555.31393488811
2019-10-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",194134,1038.56814685306,"All groups",5.25994787944406,36907.9702783136,-0.371096283964645,-0.537112500290438,5.26,66.0231776695141,64.2749496889443,10.516182803407,1.66013102674962,4.1900058571891,4.16316997040477,1.66012111784959,NA,35,NA,1548.9097258469
2019-11-30,"Households - Housing","NZDm","BSZA.MAE2A4.H1",195598,1039.74677336238,"All groups",5.31644412398115,36791.1324634649,-0.316565267522517,-0.917729579470528,5.26,66.1274536357648,64.1802103514515,10.5130121294534,1.66013102674962,4.19158399551296,4.16169491319973,1.67080468212829,NA,36,NA,1542.34119623713
2019-12-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",196926,1040.98109879645,"All groups",5.38290770888947,36583.5735349487,-0.564154769419889,-1.2467687109983,5.26,66.2265446948941,64.051591430961,10.5073546081233,1.66013102674962,4.19308135983732,4.15968887473135,1.6832286945107,NA,37,NA,1533.66200389198
2020-01-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",198210,1042.24833416728,"All groups",5.4569146410643,36322.7231938782,-0.713025863428163,-1.58569295472535,5.26,66.2839642072512,63.9140792192522,10.5001988077096,1.66013102674962,4.19394800077662,4.15753966918362,1.69688354598249,NA,38,NA,1521.71729340664
2020-02-29,"Households - Housing","NZDm","BSZA.MAE2A4.H1",199306,1043.47813900999,"All groups",5.52992056793406,36041.3856856644,-0.77454960277098,-2.03784642548034,5.26,66.2705207831147,63.7973851187647,10.492423159531,1.66013102674962,4.19374516457408,4.15571220391151,1.71017345158552,NA,39,NA,1506.90587640822
2020-03-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",200330,1044.85567685183,"All groups",5.60805379034063,35721.8399625643,-0.886607762218372,-2.35552049490509,4.5,66.1528973912218,63.7067900445793,10.4835175443739,1.50407739677627,4.19196868992257,4.15429115100379,1.72420374140181,NA,40,NA,1511.95822811265
2020-04-30,"Households - Housing","NZDm","BSZA.MAE2A4.H1",199852,1046.265798781,"All groups",5.67992220437178,35185.6931854059,-1.50089350862163,-3.13035452326416,4.5,65.9294714028728,63.6704849634027,10.4683948353692,1.50407739677627,4.18858555554222,4.15372111082736,1.73693753622584,NA,41,NA,1487.97628672441
2020-05-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",201059,1047.81848068297,"All groups",5.74626582921126,34989.5055286013,-0.557577921716357,-2.91853417134726,4.5,65.6737243807853,63.6918446277795,10.46280345347,1.50407739677627,4.18469891217453,4.1540565265605,1.74855022283736,NA,42,NA,1464.00106528949
2020-06-30,"Households - Housing","NZDm","BSZA.MAE2A4.H1",201896,1049.42883423597,"All groups",5.79892652111699,34816.0990253608,-0.495595752557088,-2.53553830976424,4.44,65.5106277716853,63.7718387116915,10.4578351744602,1.49065437644413,4.18221238553538,4.15531169340204,1.75767281785645,NA,43,NA,1449.24588472781
2020-07-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",203274,1051.22173289852,"All groups",5.84169660126526,34797.0827440734,-0.0546192187513395,-1.1044558346052,4.43,65.5158131801585,63.9182527871949,10.4572888330554,1.48839958405704,4.1822915361013,4.15760496671639,1.76502126856442,NA,44,NA,1442.35391142572
2020-08-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",204767,1053.1695589109,"All groups",5.89010522829837,34764.5741567093,-0.0934233125322925,-0.642853817148326,4.43,65.679109477011,64.1319583647622,10.4563541632623,1.48839958405704,4.18478090654146,4.16094281011479,1.77327386308937,NA,45,NA,1441.42135052335
2020-09-30,"Households - Housing","NZDm","BSZA.MAE2A4.H1",206290,1055.22626879971,"All groups",5.96288676626801,34595.6594659788,-0.485881662088161,-0.633154102708,4.42,65.9458064101472,64.4052142027807,10.4514835042163,1.48613969608961,4.18883328972908,4.16519459571444,1.78555472057077,NA,46,NA,1441.42769524866
2020-10-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",208138,1057.55398890866,"All groups",6.08017524009183,34232.237029546,-1.05048564485453,-1.62325594556822,4.41,66.2904135964043,64.754018046791,10.4409230822824,1.48387468945875,4.19404529543137,4.17059575343102,1.80503351794624,NA,47,NA,1437.6010270043
2020-11-30,"Households - Housing","NZDm","BSZA.MAE2A4.H1",210130,1060.02648614469,"All groups",6.2267873106538,33746.1341646398,-1.42001489556932,-2.9295339200148,4.4,66.6492791037569,65.1363324886464,10.4266211464702,1.48160454092422,4.19944423041854,4.17648249627729,1.82886051931755,NA,48,NA,1429.95567944919
2020-12-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",212211,1062.83360600798,"All groups",6.39888845296352,33163.7286006632,-1.72584379927834,-4.13904775170928,4.39,67.0030571206565,65.5528148079197,10.4092120456501,1.47932922708708,4.20473824701652,4.18285615067478,1.85612429605719,NA,49,NA,1418.60421705558
2021-01-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",213904,1065.92248883912,"All groups",6.57809757988747,32517.6082297732,-1.94827420845892,-5.0088131789134,4.38,67.3059230029626,65.965834999224,10.389537013287,1.47704872438835,4.20924824173745,4.18913695647171,1.88374558193587,NA,50,NA,1404.70218864897
2021-02-28,"Households - Housing","NZDm","BSZA.MAE2A4.H1",215605,1068.97600486936,"All groups",6.73444311302194,32015.267837529,-1.54482577160839,-5.12908032270096,4.38,67.5416904439497,66.3146892010894,10.3739681879191,1.47704872438835,4.21274504342641,4.1944114292293,1.90723512092356,NA,51,NA,1391.71608111413
2021-03-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",217939,1072.67214531735,"All groups",6.88855133006722,31637.8567215922,-1.17884728577664,-4.60102631234457,4.38,67.7773855466913,66.650637737467,10.3621096800673,1.47704872438835,4.21622859279836,4.19946461503306,1.9298608060342,NA,52,NA,1379.65125670851
