Series_reference,period,value,Status,Units,Magnitude,seasonality,SNA_Account,Transaction,Transaction_Label,Asset_type,Asset_type_label,Sector,Sector_name,Subject,year,month
SNEQ.SG05AP051C00S900,2025.03,16742,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2025,3
SNEQ.SG05AP051C00S900,2025.06,16940,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2025,6
SNEQ.SG05AP051G00S900,2016.06,15215,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2016,6
SNEQ.SG05AP051G00S900,2016.09,15643,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2016,9
SNEQ.SG05AP051G00S900,2016.12,15810,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2016,12
SNEQ.SG05AP051G00S900,2017.03,14785,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2017,3
SNEQ.SG05AP051G00S900,2017.06,15982,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2017,6
SNEQ.SG05AP051G00S900,2017.09,16665,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2017,9
SNEQ.SG05AP051G00S900,2017.12,17713,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2017,12
SNEQ.SG05AP051G00S900,2018.03,16474,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2018,3
SNEQ.SG05AP051G00S900,2018.06,17720,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2018,6
SNEQ.SG05AP051G00S900,2018.09,17908,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2018,9
SNEQ.SG05AP051G00S900,2018.12,18672,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2018,12
SNEQ.SG05AP051G00S900,2019.03,17731,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2019,3
SNEQ.SG05AP051G00S900,2019.06,18858,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2019,6
SNEQ.SG05AP051G00S900,2019.09,19259,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2019,9
SNEQ.SG05AP051G00S900,2019.12,19980,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2019,12
SNEQ.SG05AP051G00S900,2020.03,17958,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2020,3
SNEQ.SG05AP051G00S900,2020.06,15547,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2020,6
SNEQ.SG05AP051G00S900,2020.09,19982,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2020,9
SNEQ.SG05AP051G00S900,2020.12,20650,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2020,12
SNEQ.SG05AP051G00S900,2021.03,20145,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2021,3
SNEQ.SG05AP051G00S900,2021.06,20980,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2021,6
SNEQ.SG05AP051G00S900,2021.09,20679,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2021,9
SNEQ.SG05AP051G00S900,2021.12,23889,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2021,12
SNEQ.SG05AP051G00S900,2022.03,22834,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2022,3
SNEQ.SG05AP051G00S900,2022.06,23440,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2022,6
SNEQ.SG05AP051G00S900,2022.09,25624,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2022,9
SNEQ.SG05AP051G00S900,2022.12,26103,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2022,12
SNEQ.SG05AP051G00S900,2023.03,24676,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2023,3
SNEQ.SG05AP051G00S900,2023.06,25918,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2023,6
SNEQ.SG05AP051G00S900,2023.09,25913,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2023,9
SNEQ.SG05AP051G00S900,2023.12,26538,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2023,12
SNEQ.SG05AP051G00S900,2024.03,24723,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2024,3
SNEQ.SG05AP051G00S900,2024.06,25379,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2024,6
SNEQ.SG05AP051G00S900,2024.09,24920,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2024,9
SNEQ.SG05AP051G00S900,2024.12,25445,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2024,12
SNEQ.SG05AP051G00S900,2025.03,24436,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2025,3
SNEQ.SG05AP051G00S900,2025.06,24632,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051G,Gross fixed capital formation,,,,,National Accounts - SNA 2008 - SNE,2025,6
SNEQ.SG05AP052000S900,2016.06,-1639,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2016,6
SNEQ.SG05AP052000S900,2016.09,228,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2016,9
SNEQ.SG05AP052000S900,2016.12,1651,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2016,12
SNEQ.SG05AP052000S900,2017.03,1235,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2017,3
SNEQ.SG05AP052000S900,2017.06,-1693,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2017,6
SNEQ.SG05AP052000S900,2017.09,324,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2017,9
SNEQ.SG05AP052000S900,2017.12,1984,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2017,12
SNEQ.SG05AP052000S900,2018.03,1525,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2018,3
SNEQ.SG05AP052000S900,2018.06,-1082,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2018,6
SNEQ.SG05AP052000S900,2018.09,819,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2018,9
SNEQ.SG05AP052000S900,2018.12,1376,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2018,12
SNEQ.SG05AP052000S900,2019.03,341,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2019,3
SNEQ.SG05AP052000S900,2019.06,-1778,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2019,6
SNEQ.SG05AP052000S900,2019.09,1048,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2019,9
SNEQ.SG05AP052000S900,2019.12,1684,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2019,12
SNEQ.SG05AP052000S900,2020.03,-165,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2020,3
SNEQ.SG05AP052000S900,2020.06,-2921,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2020,6
SNEQ.SG05AP052000S900,2020.09,-62,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2020,9
SNEQ.SG05AP052000S900,2020.12,1160,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2020,12
SNEQ.SG05AP052000S900,2021.03,1424,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2021,3
SNEQ.SG05AP052000S900,2021.06,-3340,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2021,6
SNEQ.SG05AP052000S900,2021.09,2640,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2021,9
SNEQ.SG05AP052000S900,2021.12,1944,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2021,12
SNEQ.SG05AP052000S900,2022.03,545,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2022,3
SNEQ.SG05AP052000S900,2022.06,-865,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2022,6
SNEQ.SG05AP052000S900,2022.09,587,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2022,9
SNEQ.SG05AP052000S900,2022.12,3477,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2022,12
SNEQ.SG05AP052000S900,2023.03,310,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2023,3
SNEQ.SG05AP052000S900,2023.06,-3880,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2023,6
SNEQ.SG05AP052000S900,2023.09,991,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2023,9
SNEQ.SG05AP052000S900,2023.12,-171,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2023,12
SNEQ.SG05AP052000S900,2024.03,4,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2024,3
SNEQ.SG05AP052000S900,2024.06,-3774,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P052,Change in inventories,,,,,National Accounts - SNA 2008 - SNE,2024,6
