Series_reference,period,value,Status,Units,Magnitude,seasonality,SNA_Account,Transaction,Transaction_Label,Asset_type,Asset_type_label,Sector,Sector_name,Subject,year,month
SNEQ.SG03AB01GE00S900,2021.03,86172,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2021,3
SNEQ.SG03AB01GE00S900,2021.06,87937,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2021,6
SNEQ.SG03AB01GE00S900,2021.09,83840,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2021,9
SNEQ.SG03AB01GE00S900,2021.12,95102,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2021,12
SNEQ.SG03AB01GE00S900,2022.03,92194,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2022,3
SNEQ.SG03AB01GE00S900,2022.06,94670,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2022,6
SNEQ.SG03AB01GE00S900,2022.09,94719,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2022,9
SNEQ.SG03AB01GE00S900,2022.12,103944,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2022,12
SNEQ.SG03AB01GE00S900,2023.03,100191,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2023,3
SNEQ.SG03AB01GE00S900,2023.06,102744,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2023,6
SNEQ.SG03AB01GE00S900,2023.09,101489,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2023,9
SNEQ.SG03AB01GE00S900,2023.12,108372,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2023,12
SNEQ.SG03AB01GE00S900,2024.03,105610,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2024,3
SNEQ.SG03AB01GE00S900,2024.06,105384,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2024,6
SNEQ.SG03AB01GE00S900,2024.09,102994,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2024,9
SNEQ.SG03AB01GE00S900,2024.12,112583,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2024,12
SNEQ.SG03AB01GE00S900,2025.03,110077,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2025,3
SNEQ.SG03AB01GI00S900,2011.06,51510,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2011,6
SNEQ.SG03AB01GI00S900,2011.09,52896,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2011,9
SNEQ.SG03AB01GI00S900,2011.12,56394,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2011,12
SNEQ.SG03AB01GI00S900,2012.03,52470,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2012,3
SNEQ.SG03AB01GI00S900,2012.06,53515,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2012,6
SNEQ.SG03AB01GI00S900,2012.09,53454,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2012,9
SNEQ.SG03AB01GI00S900,2012.12,56902,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2012,12
SNEQ.SG03AB01GI00S900,2013.03,54054,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2013,3
SNEQ.SG03AB01GI00S900,2013.06,54801,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2013,6
SNEQ.SG03AB01GI00S900,2013.09,57104,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2013,9
SNEQ.SG03AB01GI00S900,2013.12,62559,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2013,12
SNEQ.SG03AB01GI00S900,2014.03,58458,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2014,3
SNEQ.SG03AB01GI00S900,2014.06,58941,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2014,6
SNEQ.SG03AB01GI00S900,2014.09,59623,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2014,9
SNEQ.SG03AB01GI00S900,2014.12,63932,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2014,12
SNEQ.SG03AB01GI00S900,2015.03,60420,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2015,3
SNEQ.SG03AB01GI00S900,2015.06,61906,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2015,6
SNEQ.SG03AB01GI00S900,2015.09,62821,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2015,9
SNEQ.SG03AB01GI00S900,2015.12,66964,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2015,12
SNEQ.SG03AB01GI00S900,2016.03,63877,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2016,3
SNEQ.SG03AB01GI00S900,2016.06,65273,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2016,6
SNEQ.SG03AB01GI00S900,2016.09,66284,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2016,9
SNEQ.SG03AB01GI00S900,2016.12,71597,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2016,12
SNEQ.SG03AB01GI00S900,2017.03,68493,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2017,3
SNEQ.SG03AB01GI00S900,2017.06,69589,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2017,6
SNEQ.SG03AB01GI00S900,2017.09,71238,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2017,9
SNEQ.SG03AB01GI00S900,2017.12,77422,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2017,12
SNEQ.SG03AB01GI00S900,2018.03,72726,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2018,3
SNEQ.SG03AB01GI00S900,2018.06,74558,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2018,6
SNEQ.SG03AB01GI00S900,2018.09,75229,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2018,9
SNEQ.SG03AB01GI00S900,2018.12,80451,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2018,12
SNEQ.SG03AB01GI00S900,2019.03,76136,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2019,3
SNEQ.SG03AB01GI00S900,2019.06,78629,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2019,6
SNEQ.SG03AB01GI00S900,2019.09,80034,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2019,9
SNEQ.SG03AB01GI00S900,2019.12,85329,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2019,12
SNEQ.SG03AB01GI00S900,2020.03,79325,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2020,3
SNEQ.SG03AB01GI00S900,2020.06,72972,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2020,6
SNEQ.SG03AB01GI00S900,2020.09,83870,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2020,9
SNEQ.SG03AB01GI00S900,2020.12,87917,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2020,12
SNEQ.SG03AB01GI00S900,2021.03,83747,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2021,3
SNEQ.SG03AB01GI00S900,2021.06,87831,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2021,6
