"Period","Derived_Total","Measure","Value"
2004-12-31,"HCE","Household contents and services",1364
2004-12-31,"HCE","Housing and household utilities",5412
2004-12-31,"HCE","Imports of low value goods purchased directly by households",158
2004-12-31,"HCE","Miscellaneous goods and services",1864
2004-12-31,"HCE","Recreation and culture",2380
2004-12-31,"HCE","Restaurants and hotels",1258
2004-12-31,"HCE","Transport",3037
2005-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1116
2005-03-31,"HCE","Clothing and footwear",952
2005-03-31,"HCE","Communication",647
2005-03-31,"HCE","Food and nonalcoholic beverages",3108
2005-03-31,"HCE","Household contents and services",1368
2005-03-31,"HCE","Housing and household utilities",5486
2005-03-31,"HCE","Imports of low value goods purchased directly by households",180
2005-03-31,"HCE","Miscellaneous goods and services",1878
2005-03-31,"HCE","Recreation and culture",2402
2005-03-31,"HCE","Restaurants and hotels",1223
2005-03-31,"HCE","Transport",3035
2005-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1141
2005-06-30,"HCE","Clothing and footwear",985
2005-06-30,"HCE","Communication",649
2005-06-30,"HCE","Food and nonalcoholic beverages",3152
2005-06-30,"HCE","Household contents and services",1409
2005-06-30,"HCE","Housing and household utilities",5597
2005-06-30,"HCE","Imports of low value goods purchased directly by households",179
2005-06-30,"HCE","Miscellaneous goods and services",1903
2005-06-30,"HCE","Recreation and culture",2464
2005-06-30,"HCE","Restaurants and hotels",1322
2005-06-30,"HCE","Transport",3159
2005-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1165
2005-09-30,"HCE","Clothing and footwear",998
2005-09-30,"HCE","Communication",670
2005-09-30,"HCE","Food and nonalcoholic beverages",3221
2005-09-30,"HCE","Household contents and services",1424
2005-09-30,"HCE","Housing and household utilities",5639
2005-09-30,"HCE","Imports of low value goods purchased directly by households",194
2005-09-30,"HCE","Miscellaneous goods and services",1942
2005-09-30,"HCE","Recreation and culture",2442
2005-09-30,"HCE","Restaurants and hotels",1226
2005-09-30,"HCE","Transport",3215
2005-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1184
2005-12-31,"HCE","Clothing and footwear",1038
2005-12-31,"HCE","Communication",686
2005-12-31,"HCE","Food and nonalcoholic beverages",3267
2005-12-31,"HCE","Household contents and services",1436
2005-12-31,"HCE","Housing and household utilities",5734
2005-12-31,"HCE","Imports of low value goods purchased directly by households",196
2005-12-31,"HCE","Miscellaneous goods and services",1968
2005-12-31,"HCE","Recreation and culture",2492
2005-12-31,"HCE","Restaurants and hotels",1340
2005-12-31,"HCE","Transport",3223
2006-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1223
2006-03-31,"HCE","Clothing and footwear",1030
2006-03-31,"HCE","Communication",689
2006-03-31,"HCE","Food and nonalcoholic beverages",3386
2006-03-31,"HCE","Household contents and services",1457
2006-03-31,"HCE","Housing and household utilities",5835
2006-03-31,"HCE","Imports of low value goods purchased directly by households",213
2006-03-31,"HCE","Miscellaneous goods and services",2005
2006-03-31,"HCE","Recreation and culture",2476
2006-03-31,"HCE","Restaurants and hotels",1336
2006-03-31,"HCE","Transport",3273
2006-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1242
2006-06-30,"HCE","Clothing and footwear",1035
2006-06-30,"HCE","Communication",686
2006-06-30,"HCE","Food and nonalcoholic beverages",3423
2006-06-30,"HCE","Household contents and services",1468
2006-06-30,"HCE","Housing and household utilities",5959
2006-06-30,"HCE","Imports of low value goods purchased directly by households",199
2006-06-30,"HCE","Miscellaneous goods and services",2037
2006-06-30,"HCE","Recreation and culture",2494
2006-06-30,"HCE","Restaurants and hotels",1326
2006-06-30,"HCE","Transport",3344
2006-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1263
2006-09-30,"HCE","Clothing and footwear",1061
2006-09-30,"HCE","Communication",655
2006-09-30,"HCE","Food and nonalcoholic beverages",3431
2006-09-30,"HCE","Household contents and services",1499
2006-09-30,"HCE","Housing and household utilities",6050
2006-09-30,"HCE","Imports of low value goods purchased directly by households",165
2006-09-30,"HCE","Miscellaneous goods and services",2060
2006-09-30,"HCE","Recreation and culture",2562
2006-09-30,"HCE","Restaurants and hotels",1400
2006-09-30,"HCE","Transport",3380
2006-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1277
2006-12-31,"HCE","Clothing and footwear",1045
2006-12-31,"HCE","Communication",785
2006-12-31,"HCE","Food and nonalcoholic beverages",3521
2006-12-31,"HCE","Household contents and services",1544
2006-12-31,"HCE","Housing and household utilities",6139
2006-12-31,"HCE","Imports of low value goods purchased directly by households",156
2006-12-31,"HCE","Miscellaneous goods and services",2109
2006-12-31,"HCE","Recreation and culture",2574
2006-12-31,"HCE","Restaurants and hotels",1431
2006-12-31,"HCE","Transport",3336
2007-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1274
2007-03-31,"HCE","Clothing and footwear",1093
2007-03-31,"HCE","Communication",787
2007-03-31,"HCE","Food and nonalcoholic beverages",3487
2007-03-31,"HCE","Household contents and services",1602
2007-03-31,"HCE","Housing and household utilities",6260
2007-03-31,"HCE","Imports of low value goods purchased directly by households",150
2007-03-31,"HCE","Miscellaneous goods and services",2149
2007-03-31,"HCE","Recreation and culture",2638
2007-03-31,"HCE","Restaurants and hotels",1470
2007-03-31,"HCE","Transport",3380
2007-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1292
2007-06-30,"HCE","Clothing and footwear",1096
2007-06-30,"HCE","Communication",779
2007-06-30,"HCE","Food and nonalcoholic beverages",3563
2007-06-30,"HCE","Household contents and services",1599
2007-06-30,"HCE","Housing and household utilities",6344
2007-06-30,"HCE","Imports of low value goods purchased directly by households",157
2007-06-30,"HCE","Miscellaneous goods and services",2156
2007-06-30,"HCE","Recreation and culture",2616
2007-06-30,"HCE","Restaurants and hotels",1470
2007-06-30,"HCE","Transport",3454
2007-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1298
2007-09-30,"HCE","Clothing and footwear",1071
2007-09-30,"HCE","Communication",789
2007-09-30,"HCE","Food and nonalcoholic beverages",3618
2007-09-30,"HCE","Household contents and services",1578
2007-09-30,"HCE","Housing and household utilities",6456
2007-09-30,"HCE","Imports of low value goods purchased directly by households",182
2007-09-30,"HCE","Miscellaneous goods and services",2178
2007-09-30,"HCE","Recreation and culture",2605
2007-09-30,"HCE","Restaurants and hotels",1485
2007-09-30,"HCE","Transport",3476
2007-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1322
2007-12-31,"HCE","Clothing and footwear",1101
2007-12-31,"HCE","Communication",788
2007-12-31,"HCE","Food and nonalcoholic beverages",3692
2007-12-31,"HCE","Household contents and services",1546
2007-12-31,"HCE","Housing and household utilities",6566
2007-12-31,"HCE","Imports of low value goods purchased directly by households",174
2007-12-31,"HCE","Miscellaneous goods and services",2174
2007-12-31,"HCE","Recreation and culture",2598
2007-12-31,"HCE","Restaurants and hotels",1504
2007-12-31,"HCE","Transport",3620
2008-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1349
2008-03-31,"HCE","Clothing and footwear",1107
2008-03-31,"HCE","Communication",811
2008-03-31,"HCE","Food and nonalcoholic beverages",3835
2008-03-31,"HCE","Household contents and services",1545
2008-03-31,"HCE","Housing and household utilities",6684
2008-03-31,"HCE","Imports of low value goods purchased directly by households",174
2008-03-31,"HCE","Miscellaneous goods and services",2156
2008-03-31,"HCE","Recreation and culture",2696
2008-03-31,"HCE","Restaurants and hotels",1560
2008-03-31,"HCE","Transport",3724
2008-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1325
2008-06-30,"HCE","Clothing and footwear",1073
2008-06-30,"HCE","Communication",837
2008-06-30,"HCE","Food and nonalcoholic beverages",3779
2008-06-30,"HCE","Household contents and services",1531
2008-06-30,"HCE","Housing and household utilities",6786
2008-06-30,"HCE","Imports of low value goods purchased directly by households",183
2008-06-30,"HCE","Miscellaneous goods and services",2177
2008-06-30,"HCE","Recreation and culture",2658
2008-06-30,"HCE","Restaurants and hotels",1499
2008-06-30,"HCE","Transport",3638
2008-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1344
2008-09-30,"HCE","Clothing and footwear",1126
2008-09-30,"HCE","Communication",839
2008-09-30,"HCE","Food and nonalcoholic beverages",3833
2008-09-30,"HCE","Household contents and services",1520
2008-09-30,"HCE","Housing and household utilities",6910
2008-09-30,"HCE","Imports of low value goods purchased directly by households",182
2008-09-30,"HCE","Miscellaneous goods and services",2217
2008-09-30,"HCE","Recreation and culture",2679
2008-09-30,"HCE","Restaurants and hotels",1598
2008-09-30,"HCE","Transport",3661
2008-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1331
2008-12-31,"HCE","Clothing and footwear",1139
2008-12-31,"HCE","Communication",856
2008-12-31,"HCE","Food and nonalcoholic beverages",3901
2008-12-31,"HCE","Household contents and services",1515
2008-12-31,"HCE","Housing and household utilities",6992
2008-12-31,"HCE","Imports of low value goods purchased directly by households",205
2008-12-31,"HCE","Miscellaneous goods and services",2283
2008-12-31,"HCE","Recreation and culture",2715
2008-12-31,"HCE","Restaurants and hotels",1586
2008-12-31,"HCE","Transport",3497
2009-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1338
2009-03-31,"HCE","Clothing and footwear",1128
2009-03-31,"HCE","Communication",843
2009-03-31,"HCE","Food and nonalcoholic beverages",3983
2009-03-31,"HCE","Household contents and services",1469
2009-03-31,"HCE","Housing and household utilities",7049
2009-03-31,"HCE","Imports of low value goods purchased directly by households",186
2009-03-31,"HCE","Miscellaneous goods and services",2386
2009-03-31,"HCE","Recreation and culture",2612
2009-03-31,"HCE","Restaurants and hotels",1421
2009-03-31,"HCE","Transport",3222
2009-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1374
2009-06-30,"HCE","Clothing and footwear",1151
2009-06-30,"HCE","Communication",864
2009-06-30,"HCE","Food and nonalcoholic beverages",4145
2009-06-30,"HCE","Household contents and services",1483
2009-06-30,"HCE","Housing and household utilities",7143
2009-06-30,"HCE","Imports of low value goods purchased directly by households",157
2009-06-30,"HCE","Miscellaneous goods and services",2501
2009-06-30,"HCE","Recreation and culture",2586
2009-06-30,"HCE","Restaurants and hotels",1575
2009-06-30,"HCE","Transport",3218
2009-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1398
2009-09-30,"HCE","Clothing and footwear",1155
2009-09-30,"HCE","Communication",872
2009-09-30,"HCE","Food and nonalcoholic beverages",4227
2009-09-30,"HCE","Household contents and services",1512
2009-09-30,"HCE","Housing and household utilities",7175
2009-09-30,"HCE","Imports of low value goods purchased directly by households",141
2009-09-30,"HCE","Miscellaneous goods and services",2535
2009-09-30,"HCE","Recreation and culture",2582
2009-09-30,"HCE","Restaurants and hotels",1496
2009-09-30,"HCE","Transport",3335
2009-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1398
2009-12-31,"HCE","Clothing and footwear",1166
2009-12-31,"HCE","Communication",872
2009-12-31,"HCE","Food and nonalcoholic beverages",4107
2009-12-31,"HCE","Household contents and services",1523
2009-12-31,"HCE","Housing and household utilities",7257
2009-12-31,"HCE","Imports of low value goods purchased directly by households",132
2009-12-31,"HCE","Miscellaneous goods and services",2546
2009-12-31,"HCE","Recreation and culture",2629
2009-12-31,"HCE","Restaurants and hotels",1558
2009-12-31,"HCE","Transport",3485
2010-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1399
2010-03-31,"HCE","Clothing and footwear",1194
2010-03-31,"HCE","Communication",892
2010-03-31,"HCE","Food and nonalcoholic beverages",4088
2010-03-31,"HCE","Household contents and services",1528
2010-03-31,"HCE","Housing and household utilities",7339
2010-03-31,"HCE","Imports of low value goods purchased directly by households",133
2010-03-31,"HCE","Miscellaneous goods and services",2578
2010-03-31,"HCE","Recreation and culture",2631
2010-03-31,"HCE","Restaurants and hotels",1592
2010-03-31,"HCE","Transport",3728
2010-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1421
2010-06-30,"HCE","Clothing and footwear",1222
2010-06-30,"HCE","Communication",921
2010-06-30,"HCE","Food and nonalcoholic beverages",4137
2010-06-30,"HCE","Household contents and services",1538
2010-06-30,"HCE","Housing and household utilities",7421
2010-06-30,"HCE","Imports of low value goods purchased directly by households",130
2010-06-30,"HCE","Miscellaneous goods and services",2531
2010-06-30,"HCE","Recreation and culture",2608
2010-06-30,"HCE","Restaurants and hotels",1594
2010-06-30,"HCE","Transport",3682
2010-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1427
2010-09-30,"HCE","Clothing and footwear",1220
2010-09-30,"HCE","Communication",960
2010-09-30,"HCE","Food and nonalcoholic beverages",4187
2010-09-30,"HCE","Household contents and services",1564
2010-09-30,"HCE","Housing and household utilities",7527
2010-09-30,"HCE","Imports of low value goods purchased directly by households",142
2010-09-30,"HCE","Miscellaneous goods and services",2525
2010-09-30,"HCE","Recreation and culture",2594
2010-09-30,"HCE","Restaurants and hotels",1603
2010-09-30,"HCE","Transport",3694
2010-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1477
2010-12-31,"HCE","Clothing and footwear",1220
2010-12-31,"HCE","Communication",988
2010-12-31,"HCE","Food and nonalcoholic beverages",4352
2010-12-31,"HCE","Household contents and services",1512
2010-12-31,"HCE","Housing and household utilities",7616
2010-12-31,"HCE","Imports of low value goods purchased directly by households",134
2010-12-31,"HCE","Miscellaneous goods and services",2552
2010-12-31,"HCE","Recreation and culture",2615
2010-12-31,"HCE","Restaurants and hotels",1660
2010-12-31,"HCE","Transport",3746
2011-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1482
2011-03-31,"HCE","Clothing and footwear",1213
2011-03-31,"HCE","Communication",1016
2011-03-31,"HCE","Food and nonalcoholic beverages",4411
2011-03-31,"HCE","Household contents and services",1557
2011-03-31,"HCE","Housing and household utilities",7712
2011-03-31,"HCE","Imports of low value goods purchased directly by households",149
2011-03-31,"HCE","Miscellaneous goods and services",2589
2011-03-31,"HCE","Recreation and culture",2678
2011-03-31,"HCE","Restaurants and hotels",1704
2011-03-31,"HCE","Transport",3822
2011-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1474
2011-06-30,"HCE","Clothing and footwear",1221
2011-06-30,"HCE","Communication",1006
2011-06-30,"HCE","Food and nonalcoholic beverages",4432
2011-06-30,"HCE","Household contents and services",1579
2011-06-30,"HCE","Housing and household utilities",7794
2011-06-30,"HCE","Imports of low value goods purchased directly by households",159
2011-06-30,"HCE","Miscellaneous goods and services",2662
2011-06-30,"HCE","Recreation and culture",2821
2011-06-30,"HCE","Restaurants and hotels",1738
2011-06-30,"HCE","Transport",3952
2011-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1495
2011-09-30,"HCE","Clothing and footwear",1253
2011-09-30,"HCE","Communication",984
2011-09-30,"HCE","Food and nonalcoholic beverages",4497
2011-09-30,"HCE","Household contents and services",1580
2011-09-30,"HCE","Housing and household utilities",7881
2011-09-30,"HCE","Imports of low value goods purchased directly by households",175
2011-09-30,"HCE","Miscellaneous goods and services",2738
2011-09-30,"HCE","Recreation and culture",2870
2011-09-30,"HCE","Restaurants and hotels",1805
2011-09-30,"HCE","Transport",3942
2011-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1485
2011-12-31,"HCE","Clothing and footwear",1248
2011-12-31,"HCE","Communication",978
2011-12-31,"HCE","Food and nonalcoholic beverages",4518
2011-12-31,"HCE","Household contents and services",1624
2011-12-31,"HCE","Housing and household utilities",7926
2011-12-31,"HCE","Imports of low value goods purchased directly by households",199
2011-12-31,"HCE","Miscellaneous goods and services",2795
2011-12-31,"HCE","Recreation and culture",2817
2011-12-31,"HCE","Restaurants and hotels",1789
2011-12-31,"HCE","Transport",3942
2012-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1495
2012-03-31,"HCE","Clothing and footwear",1294
2012-03-31,"HCE","Communication",975
2012-03-31,"HCE","Food and nonalcoholic beverages",4504
2012-03-31,"HCE","Household contents and services",1630
2012-03-31,"HCE","Housing and household utilities",8079
2012-03-31,"HCE","Imports of low value goods purchased directly by households",208
2012-03-31,"HCE","Miscellaneous goods and services",2822
2012-03-31,"HCE","Recreation and culture",2871
2012-03-31,"HCE","Restaurants and hotels",1899
2012-03-31,"HCE","Transport",3993
2012-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1521
2012-06-30,"HCE","Clothing and footwear",1292
2012-06-30,"HCE","Communication",975
2012-06-30,"HCE","Food and nonalcoholic beverages",4510
2012-06-30,"HCE","Household contents and services",1615
2012-06-30,"HCE","Housing and household utilities",8173
2012-06-30,"HCE","Imports of low value goods purchased directly by households",234
2012-06-30,"HCE","Miscellaneous goods and services",2830
2012-06-30,"HCE","Recreation and culture",2802
2012-06-30,"HCE","Restaurants and hotels",1850
2012-06-30,"HCE","Transport",4052
2012-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1519
2012-09-30,"HCE","Clothing and footwear",1298
2012-09-30,"HCE","Communication",994
2012-09-30,"HCE","Food and nonalcoholic beverages",4477
2012-09-30,"HCE","Household contents and services",1631
2012-09-30,"HCE","Housing and household utilities",8236
2012-09-30,"HCE","Imports of low value goods purchased directly by households",227
2012-09-30,"HCE","Miscellaneous goods and services",2852
2012-09-30,"HCE","Recreation and culture",2787
2012-09-30,"HCE","Restaurants and hotels",1825
2012-09-30,"HCE","Transport",4007
2012-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1538
2012-12-31,"HCE","Clothing and footwear",1308
2012-12-31,"HCE","Communication",977
2012-12-31,"HCE","Food and nonalcoholic beverages",4507
2012-12-31,"HCE","Household contents and services",1650
2012-12-31,"HCE","Housing and household utilities",8332
2012-12-31,"HCE","Imports of low value goods purchased directly by households",229
2012-12-31,"HCE","Miscellaneous goods and services",2919
2012-12-31,"HCE","Recreation and culture",2821
2012-12-31,"HCE","Restaurants and hotels",1890
2012-12-31,"HCE","Transport",4082
2013-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1566
2013-03-31,"HCE","Clothing and footwear",1296
2013-03-31,"HCE","Communication",970
2013-03-31,"HCE","Food and nonalcoholic beverages",4575
2013-03-31,"HCE","Household contents and services",1676
2013-03-31,"HCE","Housing and household utilities",8448
2013-03-31,"HCE","Imports of low value goods purchased directly by households",226
2013-03-31,"HCE","Miscellaneous goods and services",2964
2013-03-31,"HCE","Recreation and culture",2877
2013-03-31,"HCE","Restaurants and hotels",1921
2013-03-31,"HCE","Transport",4162
2013-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1566
2013-06-30,"HCE","Clothing and footwear",1337
2013-06-30,"HCE","Communication",956
2013-06-30,"HCE","Food and nonalcoholic beverages",4616
2013-06-30,"HCE","Household contents and services",1733
2013-06-30,"HCE","Housing and household utilities",8529
2013-06-30,"HCE","Imports of low value goods purchased directly by households",267
2013-06-30,"HCE","Miscellaneous goods and services",3028
2013-06-30,"HCE","Recreation and culture",2897
2013-06-30,"HCE","Restaurants and hotels",2004
2013-06-30,"HCE","Transport",4192
2013-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1573
2013-09-30,"HCE","Clothing and footwear",1284
2013-09-30,"HCE","Communication",962
2013-09-30,"HCE","Food and nonalcoholic beverages",4652
2013-09-30,"HCE","Household contents and services",1759
2013-09-30,"HCE","Housing and household utilities",8616
2013-09-30,"HCE","Imports of low value goods purchased directly by households",269
2013-09-30,"HCE","Miscellaneous goods and services",3082
2013-09-30,"HCE","Recreation and culture",2954
2013-09-30,"HCE","Restaurants and hotels",1976
2013-09-30,"HCE","Transport",4303
2013-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1600
2013-12-31,"HCE","Clothing and footwear",1353
2013-12-31,"HCE","Communication",966
2013-12-31,"HCE","Food and nonalcoholic beverages",4663
2013-12-31,"HCE","Household contents and services",1781
2013-12-31,"HCE","Housing and household utilities",8722
2013-12-31,"HCE","Imports of low value goods purchased directly by households",269
2013-12-31,"HCE","Miscellaneous goods and services",3100
2013-12-31,"HCE","Recreation and culture",2962
2013-12-31,"HCE","Restaurants and hotels",2032
2013-12-31,"HCE","Transport",4407
2014-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1628
2014-03-31,"HCE","Clothing and footwear",1360
2014-03-31,"HCE","Communication",957
2014-03-31,"HCE","Food and nonalcoholic beverages",4650
2014-03-31,"HCE","Household contents and services",1794
2014-03-31,"HCE","Housing and household utilities",8798
2014-03-31,"HCE","Imports of low value goods purchased directly by households",288
2014-03-31,"HCE","Miscellaneous goods and services",3132
2014-03-31,"HCE","Recreation and culture",2972
2014-03-31,"HCE","Restaurants and hotels",2108
2014-03-31,"HCE","Transport",4491
2014-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1660
2014-06-30,"HCE","Clothing and footwear",1336
2014-06-30,"HCE","Communication",952
2014-06-30,"HCE","Food and nonalcoholic beverages",4697
2014-06-30,"HCE","Household contents and services",1819
2014-06-30,"HCE","Housing and household utilities",8927
2014-06-30,"HCE","Imports of low value goods purchased directly by households",284
2014-06-30,"HCE","Miscellaneous goods and services",3154
2014-06-30,"HCE","Recreation and culture",2994
2014-06-30,"HCE","Restaurants and hotels",2060
2014-06-30,"HCE","Transport",4498
2014-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1709
2014-09-30,"HCE","Clothing and footwear",1359
2014-09-30,"HCE","Communication",951
2014-09-30,"HCE","Food and nonalcoholic beverages",4761
2014-09-30,"HCE","Household contents and services",1860
2014-09-30,"HCE","Housing and household utilities",9069
2014-09-30,"HCE","Imports of low value goods purchased directly by households",298
2014-09-30,"HCE","Miscellaneous goods and services",3178
2014-09-30,"HCE","Recreation and culture",3014
2014-09-30,"HCE","Restaurants and hotels",2061
2014-09-30,"HCE","Transport",4542
2014-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1727
2014-12-31,"HCE","Clothing and footwear",1360
2014-12-31,"HCE","Communication",946
2014-12-31,"HCE","Food and nonalcoholic beverages",4789
2014-12-31,"HCE","Household contents and services",1888
2014-12-31,"HCE","Housing and household utilities",9175
2014-12-31,"HCE","Imports of low value goods purchased directly by households",314
2014-12-31,"HCE","Miscellaneous goods and services",3230
2014-12-31,"HCE","Recreation and culture",3041
2014-12-31,"HCE","Restaurants and hotels",1966
2014-12-31,"HCE","Transport",4570
2015-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1752
2015-03-31,"HCE","Clothing and footwear",1374
2015-03-31,"HCE","Communication",936
2015-03-31,"HCE","Food and nonalcoholic beverages",4882
2015-03-31,"HCE","Household contents and services",1945
2015-03-31,"HCE","Housing and household utilities",9280
2015-03-31,"HCE","Imports of low value goods purchased directly by households",317
2015-03-31,"HCE","Miscellaneous goods and services",3292
2015-03-31,"HCE","Recreation and culture",3139
2015-03-31,"HCE","Restaurants and hotels",1937
2015-03-31,"HCE","Transport",4602
2015-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1778
2015-06-30,"HCE","Clothing and footwear",1382
2015-06-30,"HCE","Communication",943
2015-06-30,"HCE","Food and nonalcoholic beverages",4916
2015-06-30,"HCE","Household contents and services",1946
2015-06-30,"HCE","Housing and household utilities",9400
2015-06-30,"HCE","Imports of low value goods purchased directly by households",307
2015-06-30,"HCE","Miscellaneous goods and services",3352
2015-06-30,"HCE","Recreation and culture",3192
2015-06-30,"HCE","Restaurants and hotels",1988
2015-06-30,"HCE","Transport",4686
2015-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1817
2015-09-30,"HCE","Clothing and footwear",1390
2015-09-30,"HCE","Communication",938
2015-09-30,"HCE","Food and nonalcoholic beverages",4976
2015-09-30,"HCE","Household contents and services",1997
2015-09-30,"HCE","Housing and household utilities",9513
2015-09-30,"HCE","Imports of low value goods purchased directly by households",338
2015-09-30,"HCE","Miscellaneous goods and services",3455
2015-09-30,"HCE","Recreation and culture",3207
2015-09-30,"HCE","Restaurants and hotels",2057
2015-09-30,"HCE","Transport",4779
2015-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1849
2015-12-31,"HCE","Clothing and footwear",1421
2015-12-31,"HCE","Communication",946
2015-12-31,"HCE","Food and nonalcoholic beverages",4971
2015-12-31,"HCE","Household contents and services",2042
2015-12-31,"HCE","Housing and household utilities",9635
2015-12-31,"HCE","Imports of low value goods purchased directly by households",350
2015-12-31,"HCE","Miscellaneous goods and services",3508
2015-12-31,"HCE","Recreation and culture",3274
2015-12-31,"HCE","Restaurants and hotels",2145
2015-12-31,"HCE","Transport",4744
2016-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1884
2016-03-31,"HCE","Clothing and footwear",1430
2016-03-31,"HCE","Communication",958
2016-03-31,"HCE","Food and nonalcoholic beverages",5048
2016-03-31,"HCE","Household contents and services",2067
2016-03-31,"HCE","Housing and household utilities",9690
2016-03-31,"HCE","Imports of low value goods purchased directly by households",346
2016-03-31,"HCE","Miscellaneous goods and services",3581
2016-03-31,"HCE","Recreation and culture",3270
2016-03-31,"HCE","Restaurants and hotels",2087
2016-03-31,"HCE","Transport",4747
2016-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1954
2016-06-30,"HCE","Clothing and footwear",1465
2016-06-30,"HCE","Communication",964
2016-06-30,"HCE","Food and nonalcoholic beverages",5114
2016-06-30,"HCE","Household contents and services",2108
2016-06-30,"HCE","Housing and household utilities",9832
2016-06-30,"HCE","Imports of low value goods purchased directly by households",363
2016-06-30,"HCE","Miscellaneous goods and services",3688
2016-06-30,"HCE","Recreation and culture",3383
2016-06-30,"HCE","Restaurants and hotels",2304
2016-06-30,"HCE","Transport",4929
2016-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1998
2016-09-30,"HCE","Clothing and footwear",1452
2016-09-30,"HCE","Communication",969
2016-09-30,"HCE","Food and nonalcoholic beverages",5129
2016-09-30,"HCE","Household contents and services",2117
2016-09-30,"HCE","Housing and household utilities",9999
2016-09-30,"HCE","Imports of low value goods purchased directly by households",353
2016-09-30,"HCE","Miscellaneous goods and services",3695
2016-09-30,"HCE","Recreation and culture",3423
2016-09-30,"HCE","Restaurants and hotels",2410
2016-09-30,"HCE","Transport",5077
2016-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",2038
2016-12-31,"HCE","Clothing and footwear",1451
2016-12-31,"HCE","Communication",963
2016-12-31,"HCE","Food and nonalcoholic beverages",5221
2016-12-31,"HCE","Household contents and services",2148
2016-12-31,"HCE","Housing and household utilities",10148
2016-12-31,"HCE","Imports of low value goods purchased directly by households",363
2016-12-31,"HCE","Miscellaneous goods and services",3784
2016-12-31,"HCE","Recreation and culture",3497
2016-12-31,"HCE","Restaurants and hotels",2411
2016-12-31,"HCE","Transport",5164
2017-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",2080
2017-03-31,"HCE","Clothing and footwear",1480
2017-03-31,"HCE","Communication",963
2017-03-31,"HCE","Food and nonalcoholic beverages",5294
2017-03-31,"HCE","Household contents and services",2185
2017-03-31,"HCE","Housing and household utilities",10314
2017-03-31,"HCE","Imports of low value goods purchased directly by households",376
2017-03-31,"HCE","Miscellaneous goods and services",3845
2017-03-31,"HCE","Recreation and culture",3581
2017-03-31,"HCE","Restaurants and hotels",2547
2017-03-31,"HCE","Transport",5537
2017-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",2093
2017-06-30,"HCE","Clothing and footwear",1503
2017-06-30,"HCE","Communication",966
2017-06-30,"HCE","Food and nonalcoholic beverages",5395
2017-06-30,"HCE","Household contents and services",2207
2017-06-30,"HCE","Housing and household utilities",10477
2017-06-30,"HCE","Imports of low value goods purchased directly by households",386
