"Period","Derived_Total","Measure","Value"
2020-06-30,"Payments","Hhld Transfers to Private Sector",4816
2020-09-30,"Payments","Hhld Transfers to Private Sector",5014
2020-12-31,"Payments","Hhld Transfers to Private Sector",5101
2021-03-31,"Payments","Hhld Transfers to Private Sector",5123
2021-06-30,"Payments","Hhld Transfers to Private Sector",5223
2021-09-30,"Payments","Hhld Transfers to Private Sector",5280
2021-12-31,"Payments","Hhld Transfers to Private Sector",5384
2022-03-31,"Payments","Hhld Transfers to Private Sector",5267
2022-06-30,"Payments","Hhld Transfers to Private Sector",5218
2022-09-30,"Payments","Hhld Transfers to Private Sector",5176
2022-12-31,"Payments","Hhld Transfers to Private Sector",5153
2023-03-31,"Payments","Hhld Transfers to Private Sector",5159
2023-06-30,"Payments","Hhld Transfers to Private Sector",5448
2023-09-30,"Payments","Hhld Transfers to Private Sector",5498
2023-12-31,"Payments","Hhld Transfers to Private Sector",5729
2024-03-31,"Payments","Hhld Transfers to Private Sector",5790
2024-06-30,"Payments","Hhld Transfers to Private Sector",5874
2024-09-30,"Payments","Hhld Transfers to Private Sector",5902
2024-12-31,"Payments","Hhld Transfers to Private Sector",5817
2025-03-31,"Payments","Hhld Transfers to Private Sector",5940
2025-06-30,"Payments","Hhld Transfers to Private Sector",5990
2016-06-30,"Total Income","Pension Funds Revaluation Gains",901
2016-09-30,"Total Income","Pension Funds Revaluation Gains",927
2016-12-31,"Total Income","Pension Funds Revaluation Gains",967
2017-03-31,"Total Income","Pension Funds Revaluation Gains",927
2017-06-30,"Total Income","Pension Funds Revaluation Gains",936
2017-09-30,"Total Income","Pension Funds Revaluation Gains",911
2017-12-31,"Total Income","Pension Funds Revaluation Gains",998
2018-03-31,"Total Income","Pension Funds Revaluation Gains",960
2018-06-30,"Total Income","Pension Funds Revaluation Gains",1078
2018-09-30,"Total Income","Pension Funds Revaluation Gains",1094
2018-12-31,"Total Income","Pension Funds Revaluation Gains",1230
2019-03-31,"Total Income","Pension Funds Revaluation Gains",1149
2019-06-30,"Total Income","Pension Funds Revaluation Gains",1268
2019-09-30,"Total Income","Pension Funds Revaluation Gains",1287
2019-12-31,"Total Income","Pension Funds Revaluation Gains",1435
2020-03-31,"Total Income","Pension Funds Revaluation Gains",1448
2020-06-30,"Total Income","Pension Funds Revaluation Gains",1492
2020-09-30,"Total Income","Pension Funds Revaluation Gains",1606
2020-12-31,"Total Income","Pension Funds Revaluation Gains",1733
2021-03-31,"Total Income","Pension Funds Revaluation Gains",1673
2021-06-30,"Total Income","Pension Funds Revaluation Gains",1755
2021-09-30,"Total Income","Pension Funds Revaluation Gains",1641
2021-12-31,"Total Income","Pension Funds Revaluation Gains",1680
2022-03-31,"Total Income","Pension Funds Revaluation Gains",1437
2022-06-30,"Total Income","Pension Funds Revaluation Gains",1377
2022-09-30,"Total Income","Pension Funds Revaluation Gains",1250
2022-12-31,"Total Income","Pension Funds Revaluation Gains",1200
2023-03-31,"Total Income","Pension Funds Revaluation Gains",1094
2023-06-30,"Total Income","Pension Funds Revaluation Gains",1193
2023-09-30,"Total Income","Pension Funds Revaluation Gains",1179
2023-12-31,"Total Income","Pension Funds Revaluation Gains",1217
2024-03-31,"Total Income","Pension Funds Revaluation Gains",1135
2024-06-30,"Total Income","Pension Funds Revaluation Gains",1181
2024-09-30,"Total Income","Pension Funds Revaluation Gains",1085
2024-12-31,"Total Income","Pension Funds Revaluation Gains",1046
2025-03-31,"Total Income","Pension Funds Revaluation Gains",960
2025-06-30,"Total Income","Pension Funds Revaluation Gains",965
2016-06-30,"Total Income","Private Sector Transfers to Hhlds",1176
2016-09-30,"Total Income","Private Sector Transfers to Hhlds",1309
